COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
F_6,"Número de empresas según tecnologías con las que cuentan_Programas informáticos o sistemas especializados (contables, recursos humanos, operación, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
C_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Total de empresas",Numeric,"12,15",0.0 - 999999999999.999999999999999
D_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Redes sociales (Facebook, Twitter, Instagram, WhatsApp, Telegram, entre otras)",Numeric,"12,15",0.0 - 999999999999.999999999999999
E_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Sitio o página de Internet (de la empresa o de terceros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
F_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Aplicaciones móviles de la empresa",Numeric,"12,15",0.0 - 999999999999.999999999999999
G_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Plataformas de venta en línea (Amazon, Mercado Libre, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
H_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Materiales impresos (volantes, catálogos, folletos, anuncios en vías de tránsito, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
I_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Publicidad en medios masivos (radio, televisión, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
J_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Anuncios en periódicos y revistas",Numeric,"12,15",0.0 - 999999999999.999999999999999
K_7,"Número de empresas según el medio para promocionarse, realizar ventas o expandir su mercado_Otro",Numeric,"12,15",0.0 - 999999999999.999999999999999
C_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Falta de financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Costo del financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
F_8,"Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Problemas técnicos con los activos fijos (maquinaria, equipo, computadoras, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
G_8,"Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Incremento en los costos de operación (pago de servicios, nómina, precio de insumos, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
H_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Exceso de deudas,Numeric,"12,15",0.0 - 999999999999.999999999999999
I_8,"Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Problemas con el personal (baja calidad del trabajo, alta rotación, problemas con sindicatos, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
J_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Conflictos familiares,Numeric,"12,15",0.0 - 999999999999.999999999999999
K_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Inseguridad y criminalidad,Numeric,"12,15",0.0 - 999999999999.999999999999999
L_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Excesivos trámites burocráticos,Numeric,"12,15",0.0 - 999999999999.999999999999999
M_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Regulación fiscal / impuestos,Numeric,"12,15",0.0 - 999999999999.999999999999999
N_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Restricciones a su actividad / cierres temporales,Numeric,"12,15",0.0 - 999999999999.999999999999999
O_8,Número de empresas según factores de afectación para su operación por escala_Afectó mucho_Otro,Numeric,"12,15",0.0 - 999999999999.999999999999999
P_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
Q_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Falta de financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
R_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Costo del financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
S_8,"Número de empresas según factores de afectación para su operación por escala_Afectó poco_Problemas técnicos con los activos fijos (maquinaria, equipo, computadoras, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
T_8,"Número de empresas según factores de afectación para su operación por escala_Afectó poco_Incremento en los costos de operación (pago de servicios, nómina, precio de insumos, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
U_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Exceso de deudas,Numeric,"12,15",0.0 - 999999999999.999999999999999
V_8,"Número de empresas según factores de afectación para su operación por escala_Afectó poco_Problemas con el personal (baja calidad del trabajo, alta rotación, problemas con sindicatos, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
W_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Conflictos familiares,Numeric,"12,15",0.0 - 999999999999.999999999999999
X_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Inseguridad y criminalidad,Numeric,"12,15",0.0 - 999999999999.999999999999999
Y_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Excesivos trámites burocráticos,Numeric,"12,15",0.0 - 999999999999.999999999999999
Z_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Regulación fiscal / impuestos,Numeric,"12,15",0.0 - 999999999999.999999999999999
AA_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Restricciones a su actividad / cierres temporales,Numeric,"12,15",0.0 - 999999999999.999999999999999
AB_8,Número de empresas según factores de afectación para su operación por escala_Afectó poco_Otro,Numeric,"12,15",0.0 - 999999999999.999999999999999
AC_8,Número de empresas según factores de afectación para su operación por escala_No afectó_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
AD_8,Número de empresas según factores de afectación para su operación por escala_No afectó_Falta de financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
AE_8,Número de empresas según factores de afectación para su operación por escala_No afectó_Costo del financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
AF_8,"Número de empresas según factores de afectación para su operación por escala_No afectó_Problemas técnicos con los activos fijos (maquinaria, equipo, computadoras, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
AG_8,"Número de empresas según factores de afectación para su operación por escala_No afectó_Incremento en los costos de operación (pago de servicios, nómina, precio de insumos, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
AH_8,Número de empresas según factores de afectación para su operación por escala_No afectó_Exceso de deudas,Numeric,"12,15",0.0 - 999999999999.999999999999999
AI_8,"Número de empresas según factores de afectación para su operación por escala_No afectó_Problemas con el personal (baja calidad del trabajo, alta rotación, problemas con sindicatos, entre otros)",Numeric,"12,15",0.0 - 999999999999.999999999999999
AJ_8,Número de empresas según factores de afectación para su operación por escala_No afectó_Conflictos familiares,Numeric,"12,15",0.0 - 999999999999.999999999999999
AK_8,Número de empresas según factores de afectación para su operación por escala_No afectó_Inseguridad y criminalidad,Numeric,"12,15",0.0 - 999999999999.999999999999999
AL_8,Número de empresas según factores de afectación para su operación por escala_No afectó_Excesivos trámites burocráticos,Numeric,"12,15",0.0 - 999999999999.999999999999999
AM_8,Número de empresas según factores de afectación para su operación por escala_No afectó_Regulación fiscal / impuestos,Numeric,"12,15",0.0 - 999999999999.999999999999999
AN_8,Número de empresas según factores de afectación para su operación por escala_No afectó_Restricciones a su actividad / cierres temporales,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Falta de financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Costo del financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
F_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Situación económica del país,Numeric,"12,15",0.0 - 999999999999.999999999999999
G_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Mercado reducido para sus productos,Numeric,"12,15",0.0 - 999999999999.999999999999999
H_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Elevada competencia,Numeric,"12,15",0.0 - 999999999999.999999999999999
I_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Inseguridad y criminalidad,Numeric,"12,15",0.0 - 999999999999.999999999999999
J_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Bajo poder adquisitivo de los clientes,Numeric,"12,15",0.0 - 999999999999.999999999999999
K_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Falta de apoyos del gobierno,Numeric,"12,15",0.0 - 999999999999.999999999999999
L_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Falta de tecnología en la empresa,Numeric,"12,15",0.0 - 999999999999.999999999999999
M_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Excesivos trámites burocráticos,Numeric,"12,15",0.0 - 999999999999.999999999999999
N_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Restricciones a su actividad / cierres temporales,Numeric,"12,15",0.0 - 999999999999.999999999999999
O_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó mucho_Otro,Numeric,"12,15",0.0 - 999999999999.999999999999999
P_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
Q_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Falta de financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
R_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Costo del financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
S_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Situación económica del país,Numeric,"12,15",0.0 - 999999999999.999999999999999
T_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Mercado reducido para sus productos,Numeric,"12,15",0.0 - 999999999999.999999999999999
U_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Elevada competencia,Numeric,"12,15",0.0 - 999999999999.999999999999999
V_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Inseguridad y criminalidad,Numeric,"12,15",0.0 - 999999999999.999999999999999
W_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Bajo poder adquisitivo de los clientes,Numeric,"12,15",0.0 - 999999999999.999999999999999
X_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Falta de apoyos del gobierno,Numeric,"12,15",0.0 - 999999999999.999999999999999
Y_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Falta de tecnología en la empresa,Numeric,"12,15",0.0 - 999999999999.999999999999999
Z_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Excesivos trámites burocráticos,Numeric,"12,15",0.0 - 999999999999.999999999999999
AA_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Restricciones a su actividad / cierres temporales,Numeric,"12,15",0.0 - 999999999999.999999999999999
AB_9,Número de empresas según factores de afectación para su crecimiento por escala_Afectó poco_Otro,Numeric,"12,15",0.0 - 999999999999.999999999999999
AC_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
AD_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Falta de financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
AE_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Costo del financiamiento,Numeric,"12,15",0.0 - 999999999999.999999999999999
AF_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Situación económica del país,Numeric,"12,15",0.0 - 999999999999.999999999999999
AG_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Mercado reducido para sus productos,Numeric,"12,15",0.0 - 999999999999.999999999999999
AH_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Elevada competencia,Numeric,"12,15",0.0 - 999999999999.999999999999999
AI_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Inseguridad y criminalidad,Numeric,"12,15",0.0 - 999999999999.999999999999999
AJ_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Bajo poder adquisitivo de los clientes,Numeric,"12,15",0.0 - 999999999999.999999999999999
AK_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Falta de apoyos del gobierno,Numeric,"12,15",0.0 - 999999999999.999999999999999
